Season,Cruise,Sequence,CoreSeaso,StartDate,Week,Year,StartTemperature,StartSalinity,StartDO,N_TEMPERATURE,N_SALINITY,N_DO,AnalysisYN,Status,Gear,Mesh,Aliquot,FlowFlag,VolumeFiltered,Taxa,TotalAbundance
2010,955,3961,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,93.28,Myrophis punctatus,3
2010,955,3961,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,93.28,Paralichthys albigutta,4
2010,955,3961,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,93.28,Lagodon rhomboides,12
2010,955,3961,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,93.28,Paralichthys lethostigma,1
2010,955,3961,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,93.28,Micropogonias undulatus,14
2010,955,3962,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,105.6,Micropogonias undulatus,152
2010,955,3962,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,105.6,Paralichthys lethostigma,5
2010,955,3962,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,105.6,Paralichthys dentatus,1
2010,955,3962,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,105.6,Myrophis punctatus,24
2010,955,3962,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,105.6,Sciaenidae,2
2010,955,3962,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,105.6,Leiostomus xanthurus,33
2010,955,3962,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,105.6,Lagodon rhomboides,43
2010,955,3962,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,105.6,Engraulidae,1
2010,955,3962,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,105.6,Brevoortia tyrannus,6
2010,955,3962,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,105.6,Paralichthys albigutta,3
2010,955,3963,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,91.52,Micropogonias undulatus,170
2010,955,3963,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,91.52,Paralichthys albigutta,10
2010,955,3963,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,91.52,Paralichthys lethostigma,7
2010,955,3963,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,91.52,Myrophis punctatus,9
2010,955,3963,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,91.52,Leiostomus xanthurus,29
2010,955,3963,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,91.52,Lagodon rhomboides,74
2010,955,3963,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,91.52,Brevoortia tyrannus,5
2010,955,3963,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,91.52,Engraulidae,1
2010,955,3964,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,95.04,Paralichthys albigutta,5
